Designator,Mid X,Mid Y,Rotation,Layer
A1,314.5,-67.915,0.0,top
D1,209.0,-50.56,90.0,bottom
D10,263.0,-50.56,90.0,bottom
D11,263.0,-67.56,90.0,bottom
D13,281.0,-50.56,90.0,bottom
D14,281.0,-67.56,90.0,bottom
D16,299.0,-50.56,90.0,bottom
D17,299.0,-67.56,90.0,bottom
D19,330.0,-50.56,90.0,bottom
D2,209.0,-67.56,90.0,bottom
D20,330.0,-67.56,90.0,bottom
D22,348.0,-50.56,90.0,bottom
D23,348.0,-67.56,90.0,bottom
D25,366.0,-50.56,90.0,bottom
D26,366.0,-67.56,90.0,bottom
D28,384.0,-50.56,90.0,bottom
D29,384.0,-67.56,90.0,bottom
D3,263.0,-93.06,90.0,bottom
D30,330.0,-93.81,90.0,bottom
D31,402.0,-50.56,90.0,bottom
D32,402.0,-67.56,90.0,bottom
D33,348.0,-93.81,90.0,bottom
D34,420.0,-50.56,90.0,bottom
D35,420.0,-67.56,90.0,bottom
D36,366.0,-93.81,90.0,bottom
D4,227.0,-50.56,90.0,bottom
D5,227.0,-67.56,90.0,bottom
D6,281.0,-93.06,90.0,bottom
D7,245.0,-50.56,90.0,bottom
D8,245.0,-67.56,90.0,bottom
D9,299.0,-93.06,90.0,bottom
SW1,200.0,-52.11035,0.0,top
SW10,254.0,-52.11035,0.0,top
SW11,254.0,-69.11035,0.0,top
SW13,272.0,-52.11035,0.0,top
SW14,272.0,-69.11035,0.0,top
SW16,290.0,-52.11035,0.0,top
SW17,290.0,-69.11035,0.0,top
SW19,339.0,-52.11035,0.0,top
SW2,200.0,-69.11035,0.0,top
SW20,339.0,-69.11035,0.0,top
SW22,357.0,-52.11035,0.0,top
SW23,357.0,-69.11035,0.0,top
SW25,375.0,-52.11035,0.0,top
SW26,375.0,-69.11035,0.0,top
SW28,393.0,-52.11035,0.0,top
SW29,393.0,-69.11035,0.0,top
SW3,254.0,-94.61035,0.0,top
SW30,339.0,-94.61035,0.0,top
SW31,411.0,-52.11035,0.0,top
SW32,411.0,-69.11035,0.0,top
SW33,357.0,-94.61035,0.0,top
SW34,429.0,-52.11035,0.0,top
SW35,429.0,-69.11035,0.0,top
SW36,375.0,-94.61035,0.0,top
SW4,218.0,-52.11035,0.0,top
SW5,218.0,-69.11035,0.0,top
SW6,272.0,-94.61035,0.0,top
SW7,236.0,-52.11035,0.0,top
SW8,236.0,-69.11035,0.0,top
SW9,290.0,-94.61035,0.0,top
